Best Thing I Never Had

All scores:
BlasiFeelsSwift 10
Hogwartsreject1912 10
InfernalSolstice 10
jamesfog 10
jordnyan 10
Leixander 10
luckyboot 10
MirandaCrocsgrove 10
MrSwearword 10
patronsaintofaspies 10
robbiec_ 10
thenshecamelikeaaah 10
twat_brained 10
Wailordfan_ 10
1998tweety 9.6
agentofscranton 9.5
VeganSquash 9.5
acedino 9
chipsi1 9
DoctorWhoWhenHowWhy 9
Elitefourbrad 9
kappyko 9
Shipsinker22 9
skargardin 9
static_int_husp 9
T’Challa1966 9
chookyboy 8.8
ulikejazz 8.7
bwc222 8.5
Dracyoshi 8.5
DrunkHurricane 8.5
funfetti_donut 8.5
gannade 8.5
ignitethephoenix 8.5
kromosol 8.5
neo999955 8.5
piccprincess 8.5
RandomRocketKat 8.5
therokinrolla 8.5
TragicKingdom1 8.5
Bajuko 8
dropthehammer11 8
imasalesman 8
izeasklapaucius 8
nooodisaster 8
saucymac 8
theallu97 8
1313Harbor 7.5
1317093 7.5
Banananaise 7.5
BearlyEvenAPun 7.5
borpo 7.5
CandlePrince 7.5
melodyllic_ 7.5
stardustanddinos 7.5
THE_PC_DEMANDS_BLOOD 7.5
rotating3Dtext 7.2
JunkyGS 7.1
kanyewestrep 7
kyrgyzzephyr 7
MeanToBeIconic 7
Nerdy_boy_chris 7
sh-ether 7
strawberryswing1 7
ValetGirls 7
whatareblackhole 7
IndigoAri 6.7
DraculaWeekend 6.5
Maydaypvz 6.5
CreepyMannequin 6
Danielvonluchau 6
ScottishWhore 6
tevinterimperium 6
theburningundead 6
wanderingimpromptu3 6
whatyourheartdesires 6
Raykel 5.5
milkywayradius 5
KarenTheCockpitPilot 4.5
awryj 4
phch123 4
letsallpoo 2
cloudbustingmp3 1
fifthchevron 1
