Schoolin' Life

All scores:
phch123 11
agentofscranton 10
fifthchevron 10
letsallpoo 10
Maydaypvz 10
melodyllic_ 10
sh-ether 10
Shipsinker22 10
THE_PC_DEMANDS_BLOOD 10
cloudbustingmp3 9.6
CreepyMannequin 9.5
therokinrolla 9.5
kromosol 9.2
1998tweety 9.1
chipsi1 9
Nerdy_boy_chris 9
nooodisaster 9
patronsaintofaspies 9
RandomRocketKat 9
skargardin 9
twat_brained 8.7
DraculaWeekend 8.5
izeasklapaucius 8.5
JunkyGS 8.4
ulikejazz 8.4
1313Harbor 8
awryj 8
Bajuko 8
bwc222 8
chookyboy 8
DoctorWhoWhenHowWhy 8
DrunkHurricane 8
ignitethephoenix 8
imasalesman 8
IndigoAri 8
InfernalSolstice 8
kappyko 8
kyrgyzzephyr 8
Leixander 8
TragicKingdom1 8
Wailordfan_ 8
whatareblackhole 8
whatyourheartdesires 8
luckyboot 7.8
rotating3Dtext 7.8
funfetti_donut 7.5
Banananaise 7
BlasiFeelsSwift 7
CandlePrince 7
Dracyoshi 7
gannade 7
Hogwartsreject1912 7
jamesfog 7
kanyewestrep 7
MeanToBeIconic 7
milkywayradius 7
MirandaCrocsgrove 7
saucymac 7
static_int_husp 7
tevinterimperium 7
theallu97 7
theburningundead 7
strawberryswing1 6.8
robbiec_ 6.7
BearlyEvenAPun 6.5
borpo 6.5
KarenTheCockpitPilot 6.3
1317093 6
Danielvonluchau 6
dropthehammer11 6
Elitefourbrad 6
neo999955 6
piccprincess 6
ScottishWhore 6
thenshecamelikeaaah 6
ValetGirls 6
jordnyan 5
MrSwearword 5
stardustanddinos 5
VeganSquash 5
acedino 4
wanderingimpromptu3 4
T’Challa1966 3
Raykel 1
