Talk That Talk

All scores:
DoctorWhoWhenHowWhy 10
Elitefourbrad 10
jamesfog 10
MirandaCrocsgrove 10
MrSwearword 10
strawberryswing1 10
tevinterimperium 10
ulikejazz 10
therokinrolla 9.5
acedino 9
agentofscranton 9
dropthehammer11 9
DrunkHurricane 9
ignitethephoenix 9
IndigoAri 9
InfernalSolstice 9
izeasklapaucius 9
Nerdy_boy_chris 9
skargardin 9
theallu97 9
1998tweety 8.6
Leixander 8.5
phch123 8.5
chookyboy 8.4
JunkyGS 8.1
Bajuko 8
chipsi1 8
Danielvonluchau 8
fifthchevron 8
imasalesman 8
letsallpoo 8
melodyllic_ 8
neo999955 8
nooodisaster 8
rotating3Dtext 8
saucymac 8
TragicKingdom1 8
ValetGirls 8
wanderingimpromptu3 8
whatyourheartdesires 8
1317093 7.5
borpo 7.5
gannade 7.5
kappyko 7.5
kromosol 7.5
MeanToBeIconic 7.5
1313Harbor 7
bwc222 7
cloudbustingmp3 7
DraculaWeekend 7
funfetti_donut 7
Hogwartsreject1912 7
kyrgyzzephyr 7
Maydaypvz 7
milkywayradius 7
Raykel 7
stardustanddinos 7
static_int_husp 7
thenshecamelikeaaah 7
robbiec_ 6.8
Banananaise 6.5
CandlePrince 6.5
Dracyoshi 6.5
piccprincess 6.5
sh-ether 6.5
VeganSquash 6.5
twat_brained 6.4
BlasiFeelsSwift 6
jordnyan 6
KarenTheCockpitPilot 6
luckyboot 6
patronsaintofaspies 6
ScottishWhore 6
Shipsinker22 6
T’Challa1966 6
whatareblackhole 6
theburningundead 5.5
BearlyEvenAPun 5
kanyewestrep 5
Wailordfan_ 5
RandomRocketKat 4.5
CreepyMannequin 4
THE_PC_DEMANDS_BLOOD 4
awryj 3
