Hair

All scores:
1998tweety 10
agentofscranton 10
BlasiFeelsSwift 10
DrunkHurricane 10
Elitefourbrad 10
Hogwartsreject1912 10
InfernalSolstice 10
jamesfog 10
jordnyan 10
Leixander 10
MirandaCrocsgrove 10
phch123 10
robbiec_ 10
skargardin 10
THE_PC_DEMANDS_BLOOD 10
theburningundead 10
TragicKingdom1 10
neo999955 9.6
1313Harbor 9.5
static_int_husp 9.5
cloudbustingmp3 9.3
BearlyEvenAPun 9
DoctorWhoWhenHowWhy 9
fifthchevron 9
melodyllic_ 9
therokinrolla 9
bwc222 8.5
CandlePrince 8.5
stardustanddinos 8.5
thenshecamelikeaaah 8.5
chipsi1 8
Danielvonluchau 8
imasalesman 8
izeasklapaucius 8
patronsaintofaspies 8
tevinterimperium 8
rotating3Dtext 7.8
kromosol 7.7
Banananaise 7.5
JunkyGS 7.5
kappyko 7.5
MeanToBeIconic 7.5
twat_brained 7.3
DraculaWeekend 7
Dracyoshi 7
funfetti_donut 7
kyrgyzzephyr 7
letsallpoo 7
nooodisaster 7
piccprincess 7
Raykel 7
saucymac 7
ScottishWhore 7
sh-ether 7
whatareblackhole 7
chookyboy 6.9
ulikejazz 6.8
1317093 6.5
ignitethephoenix 6.5
Maydaypvz 6.5
Shipsinker22 6.5
Wailordfan_ 6.5
Bajuko 6
IndigoAri 6
kanyewestrep 6
MrSwearword 6
T’Challa1966 6
theallu97 6
acedino 5
CreepyMannequin 5
dropthehammer11 5
gannade 5
milkywayradius 5
Nerdy_boy_chris 5
RandomRocketKat 5
ValetGirls 5
VeganSquash 5
whatyourheartdesires 5
strawberryswing1 4.5
awryj 4
borpo 4
wanderingimpromptu3 4
KarenTheCockpitPilot 3
luckyboot 1
