Electric Chapel

All scores:
whatareblackhole 11
BlasiFeelsSwift 10
Leixander 10
phch123 10
theallu97 10
VeganSquash 9.5
twat_brained 9.4
cloudbustingmp3 9.1
1313Harbor 9
1317093 9
acedino 9
Danielvonluchau 9
MirandaCrocsgrove 9
nooodisaster 9
robbiec_ 9
skargardin 9
1998tweety 8.7
chipsi1 8.5
MeanToBeIconic 8.5
melodyllic_ 8.5
sh-ether 8.5
TragicKingdom1 8.5
therokinrolla 8.3
Elitefourbrad 8
gannade 8
Hogwartsreject1912 8
InfernalSolstice 8
izeasklapaucius 8
jordnyan 8
MrSwearword 8
Nerdy_boy_chris 8
strawberryswing1 8
rotating3Dtext 7.8
agentofscranton 7.5
bwc222 7.5
CreepyMannequin 7.5
DraculaWeekend 7.5
funfetti_donut 7.5
kappyko 7.5
kyrgyzzephyr 7.5
neo999955 7.5
RandomRocketKat 7.5
Shipsinker22 7.5
static_int_husp 7.5
wanderingimpromptu3 7.5
awryj 7
BearlyEvenAPun 7
DoctorWhoWhenHowWhy 7
DrunkHurricane 7
ignitethephoenix 7
IndigoAri 7
JunkyGS 7
kanyewestrep 7
letsallpoo 7
Maydaypvz 7
patronsaintofaspies 7
saucymac 7
ScottishWhore 7
thenshecamelikeaaah 7
ValetGirls 7
Wailordfan_ 7
whatyourheartdesires 7
ulikejazz 6.8
stardustanddinos 6.6
Banananaise 6.5
CandlePrince 6.5
KarenTheCockpitPilot 6.5
Raykel 6.5
chookyboy 6
dropthehammer11 6
imasalesman 6
jamesfog 6
kromosol 6
milkywayradius 6
piccprincess 6
THE_PC_DEMANDS_BLOOD 6
theburningundead 6
borpo 5.5
Dracyoshi 5.5
Bajuko 5
tevinterimperium 5
T’Challa1966 4
luckyboot 3
fifthchevron 2
