Heavy Metal Lover

All scores:
jordnyan 11
letsallpoo 11
robbiec_ 11
therokinrolla 11
1317093 10
awryj 10
cloudbustingmp3 10
CreepyMannequin 10
Danielvonluchau 10
Elitefourbrad 10
fifthchevron 10
Hogwartsreject1912 10
MeanToBeIconic 10
Nerdy_boy_chris 10
phch123 10
RandomRocketKat 10
ScottishWhore 10
skargardin 10
twat_brained 10
bwc222 9.5
JunkyGS 9.2
kromosol 9
Leixander 9
strawberryswing1 9
rotating3Dtext 8.5
1998tweety 8.2
1313Harbor 8
agentofscranton 8
chipsi1 8
DoctorWhoWhenHowWhy 8
funfetti_donut 8
imasalesman 8
kappyko 8
melodyllic_ 8
stardustanddinos 8
theallu97 8
ValetGirls 8
whatareblackhole 8
IndigoAri 7.8
izeasklapaucius 7.5
kyrgyzzephyr 7.5
TragicKingdom1 7.5
neo999955 7.4
Banananaise 7
DraculaWeekend 7
DrunkHurricane 7
gannade 7
MrSwearword 7
patronsaintofaspies 7
piccprincess 7
static_int_husp 7
whatyourheartdesires 7
ulikejazz 6.6
acedino 6.5
chookyboy 6.5
ignitethephoenix 6.5
Maydaypvz 6.5
MirandaCrocsgrove 6.5
nooodisaster 6.5
sh-ether 6.5
thenshecamelikeaaah 6.5
BlasiFeelsSwift 6
Dracyoshi 6
dropthehammer11 6
jamesfog 6
Raykel 6
saucymac 6
Bajuko 5
CandlePrince 5
KarenTheCockpitPilot 5
Shipsinker22 5
T’Challa1966 5
tevinterimperium 5
theburningundead 5
wanderingimpromptu3 5
luckyboot 4.7
BearlyEvenAPun 4
borpo 4
kanyewestrep 4
milkywayradius 4
Wailordfan_ 4
InfernalSolstice 3.5
THE_PC_DEMANDS_BLOOD 2
VeganSquash 1.5
