1+1

All scores:
BearlyEvenAPun 10
cloudbustingmp3 10
gannade 10
jamesfog 10
Leixander 10
luckyboot 10
Maydaypvz 10
MrSwearword 10
Nerdy_boy_chris 10
tevinterimperium 10
InfernalSolstice 9.5
thenshecamelikeaaah 9.5
agentofscranton 9
Hogwartsreject1912 9
MeanToBeIconic 9
melodyllic_ 9
nooodisaster 9
1998tweety 8.6
acedino 8.5
chipsi1 8.5
funfetti_donut 8.5
RandomRocketKat 8.5
therokinrolla 8.5
kromosol 8.3
chookyboy 8.1
Elitefourbrad 8
izeasklapaucius 8
letsallpoo 8
neo999955 8
robbiec_ 8
skargardin 8
static_int_husp 8
T’Challa1966 8
TragicKingdom1 8
VeganSquash 8
Banananaise 7.5
DraculaWeekend 7.5
ignitethephoenix 7.5
Raykel 7.5
1317093 7
Bajuko 7
borpo 7
CandlePrince 7
CreepyMannequin 7
DoctorWhoWhenHowWhy 7
imasalesman 7
JunkyGS 7
kanyewestrep 7
KarenTheCockpitPilot 7
patronsaintofaspies 7
piccprincess 7
saucymac 7
Shipsinker22 7
theburningundead 7
ValetGirls 7
whatareblackhole 7
rotating3Dtext 6.8
1313Harbor 6.5
Dracyoshi 6.5
kyrgyzzephyr 6.5
BlasiFeelsSwift 6
Danielvonluchau 6
DrunkHurricane 6
fifthchevron 6
IndigoAri 6
milkywayradius 6
MirandaCrocsgrove 6
ScottishWhore 6
sh-ether 6
stardustanddinos 6
THE_PC_DEMANDS_BLOOD 6
twat_brained 6
whatyourheartdesires 6
dropthehammer11 5.5
bwc222 5
jordnyan 5
strawberryswing1 5
theallu97 5
Wailordfan_ 5
phch123 4
ulikejazz 4
wanderingimpromptu3 3
awryj 2
kappyko 2
