I Was Here

All scores:
agentofscranton 10
DoctorWhoWhenHowWhy 10
luckyboot 10
skargardin 10
whatyourheartdesires 10
gannade 9.8
BearlyEvenAPun 9.5
bwc222 9.5
MeanToBeIconic 9.5
1317093 9
Banananaise 9
InfernalSolstice 9
Nerdy_boy_chris 9
theallu97 9
thenshecamelikeaaah 9
rotating3Dtext 8.8
1998tweety 8.7
JunkyGS 8.6
CreepyMannequin 8.5
funfetti_donut 8.5
static_int_husp 8.5
TragicKingdom1 8.5
chookyboy 8.4
1313Harbor 8
fifthchevron 8
Hogwartsreject1912 8
jamesfog 8
kyrgyzzephyr 8
nooodisaster 8
ScottishWhore 8
theburningundead 8
Wailordfan_ 8
whatareblackhole 8
borpo 7.5
Dracyoshi 7.5
Elitefourbrad 7.5
ignitethephoenix 7.5
Maydaypvz 7.5
Shipsinker22 7.5
strawberryswing1 7.5
therokinrolla 7.5
Bajuko 7
chipsi1 7
DraculaWeekend 7
dropthehammer11 7
DrunkHurricane 7
imasalesman 7
Leixander 7
melodyllic_ 7
milkywayradius 7
MirandaCrocsgrove 7
MrSwearword 7
patronsaintofaspies 7
phch123 7
stardustanddinos 7
kromosol 6.6
RandomRocketKat 6.5
robbiec_ 6.5
ulikejazz 6.3
cloudbustingmp3 6.1
CandlePrince 6
IndigoAri 6
izeasklapaucius 6
jordnyan 6
kanyewestrep 6
kappyko 6
letsallpoo 6
Raykel 6
saucymac 6
sh-ether 6
tevinterimperium 6
THE_PC_DEMANDS_BLOOD 6
wanderingimpromptu3 6
neo999955 5.5
awryj 5
Danielvonluchau 5
KarenTheCockpitPilot 5
T’Challa1966 5
ValetGirls 5
piccprincess 4.5
acedino 4
BlasiFeelsSwift 4
twat_brained 4
VeganSquash 1.5
