I Care

All scores:
Maydaypvz 11
cloudbustingmp3 10
CreepyMannequin 10
DoctorWhoWhenHowWhy 10
Elitefourbrad 10
fifthchevron 10
InfernalSolstice 10
luckyboot 10
melodyllic_ 10
patronsaintofaspies 10
theburningundead 9.5
ignitethephoenix 9
MirandaCrocsgrove 9
Nerdy_boy_chris 9
kappyko 8.5
chookyboy 8.3
1998tweety 8.1
BearlyEvenAPun 8
milkywayradius 8
nooodisaster 8
thenshecamelikeaaah 8
therokinrolla 8
twat_brained 8
whatareblackhole 8
robbiec_ 7.8
bwc222 7.5
chipsi1 7.5
funfetti_donut 7.5
KarenTheCockpitPilot 7.5
piccprincess 7.5
RandomRocketKat 7.5
static_int_husp 7.5
TragicKingdom1 7.5
JunkyGS 7.3
kromosol 7.2
1313Harbor 7
1317093 7
Banananaise 7
Danielvonluchau 7
DraculaWeekend 7
Dracyoshi 7
gannade 7
jamesfog 7
kyrgyzzephyr 7
Leixander 7
MrSwearword 7
rotating3Dtext 7
saucymac 7
ScottishWhore 7
sh-ether 7
tevinterimperium 7
theallu97 7
ulikejazz 6.7
agentofscranton 6.5
borpo 6.5
MeanToBeIconic 6.5
stardustanddinos 6.5
strawberryswing1 6.3
IndigoAri 6.2
Bajuko 6
dropthehammer11 6
Hogwartsreject1912 6
imasalesman 6
izeasklapaucius 6
kanyewestrep 6
letsallpoo 6
neo999955 6
skargardin 6
T’Challa1966 6
THE_PC_DEMANDS_BLOOD 6
ValetGirls 6
VeganSquash 6
Wailordfan_ 6
whatyourheartdesires 6
CandlePrince 5.5
acedino 5
BlasiFeelsSwift 5
DrunkHurricane 5
Raykel 5
Shipsinker22 5
phch123 4.5
jordnyan 4
wanderingimpromptu3 4
awryj 3
