Americano

All scores:
BlasiFeelsSwift 11
CreepyMannequin 10
gannade 10
letsallpoo 10
MirandaCrocsgrove 10
Wailordfan_ 10
piccprincess 9.5
1317093 9
DoctorWhoWhenHowWhy 9
izeasklapaucius 9
Maydaypvz 9
milkywayradius 9
whatyourheartdesires 9
neo999955 8.7
1313Harbor 8.5
chipsi1 8.5
RandomRocketKat 8.5
agentofscranton 8
bwc222 8
Dracyoshi 8
kyrgyzzephyr 8
Leixander 8
MrSwearword 8
Raykel 8
robbiec_ 8
sh-ether 8
Shipsinker22 8
static_int_husp 8
theallu97 8
therokinrolla 8
twat_brained 8
wanderingimpromptu3 8
rotating3Dtext 7.8
JunkyGS 7.7
acedino 7.5
borpo 7.5
funfetti_donut 7.5
MeanToBeIconic 7.5
melodyllic_ 7.5
cloudbustingmp3 7.2
DraculaWeekend 7
Hogwartsreject1912 7
jordnyan 7
Nerdy_boy_chris 7
patronsaintofaspies 7
saucymac 7
ScottishWhore 7
stardustanddinos 7
tevinterimperium 7
TragicKingdom1 7
1998tweety 6.5
Banananaise 6.5
dropthehammer11 6.5
ignitethephoenix 6.5
KarenTheCockpitPilot 6.5
nooodisaster 6.5
strawberryswing1 6.5
theburningundead 6.5
chookyboy 6.4
Bajuko 6
Danielvonluchau 6
imasalesman 6
IndigoAri 6
jamesfog 6
kanyewestrep 6
T’Challa1966 6
THE_PC_DEMANDS_BLOOD 6
ulikejazz 6
ValetGirls 6
whatareblackhole 6
awryj 5.5
kappyko 5.5
kromosol 5.5
DrunkHurricane 5
Elitefourbrad 5
InfernalSolstice 5
thenshecamelikeaaah 5
CandlePrince 4
skargardin 4
VeganSquash 4
BearlyEvenAPun 3
luckyboot 3
fifthchevron 2
phch123 1
