Run the World (Girls)

All scores:
Dracyoshi 11
piccprincess 11
CreepyMannequin 10
DoctorWhoWhenHowWhy 10
DraculaWeekend 10
IndigoAri 10
InfernalSolstice 10
jamesfog 10
kappyko 10
luckyboot 10
MirandaCrocsgrove 10
MrSwearword 10
static_int_husp 10
theallu97 10
KarenTheCockpitPilot 9.8
ulikejazz 9.7
ignitethephoenix 9.5
RandomRocketKat 9.5
cloudbustingmp3 9.1
Bajuko 9
DrunkHurricane 9
imasalesman 9
neo999955 9
saucymac 9
ScottishWhore 9
chookyboy 8.7
JunkyGS 8.7
awryj 8.5
Banananaise 8.5
CandlePrince 8.5
chipsi1 8.5
funfetti_donut 8.5
izeasklapaucius 8.5
melodyllic_ 8.5
strawberryswing1 8.2
kyrgyzzephyr 8
MeanToBeIconic 8
Nerdy_boy_chris 8
Shipsinker22 8
therokinrolla 8
TragicKingdom1 8
twat_brained 7.6
1313Harbor 7.5
THE_PC_DEMANDS_BLOOD 7.5
theburningundead 7.5
agentofscranton 7
borpo 7
Danielvonluchau 7
kanyewestrep 7
Maydaypvz 7
milkywayradius 7
Raykel 7
skargardin 7
stardustanddinos 7
rotating3Dtext 6.8
kromosol 6.2
acedino 6
robbiec_ 6
ValetGirls 6
Wailordfan_ 6
whatareblackhole 6
bwc222 5.5
fifthchevron 5
Hogwartsreject1912 5
Leixander 5
wanderingimpromptu3 5
whatyourheartdesires 5
1317093 4
1998tweety 4
gannade 4
nooodisaster 4
patronsaintofaspies 4
T’Challa1966 4
tevinterimperium 4
thenshecamelikeaaah 4
letsallpoo 3
sh-ether 3
VeganSquash 3
BlasiFeelsSwift 2
BearlyEvenAPun 1
phch123 1
dropthehammer11 0
Elitefourbrad 0
jordnyan 0
