The Edge of Glory

All scores:
cloudbustingmp3 11
Danielvonluchau 11
DrunkHurricane 11
Elitefourbrad 11
neo999955 11
patronsaintofaspies 11
Raykel 11
Shipsinker22 11
skargardin 11
T’Challa1966 11
theburningundead 11
TragicKingdom1 11
twat_brained 11
agentofscranton 10
BearlyEvenAPun 10
chipsi1 10
DoctorWhoWhenHowWhy 10
funfetti_donut 10
gannade 10
Hogwartsreject1912 10
ignitethephoenix 10
IndigoAri 10
InfernalSolstice 10
izeasklapaucius 10
jamesfog 10
jordnyan 10
kappyko 10
kromosol 10
letsallpoo 10
Maydaypvz 10
MeanToBeIconic 10
melodyllic_ 10
milkywayradius 10
MirandaCrocsgrove 10
MrSwearword 10
Nerdy_boy_chris 10
nooodisaster 10
piccprincess 10
robbiec_ 10
ScottishWhore 10
stardustanddinos 10
static_int_husp 10
strawberryswing1 10
tevinterimperium 10
THE_PC_DEMANDS_BLOOD 10
theallu97 10
thenshecamelikeaaah 10
therokinrolla 10
Wailordfan_ 10
whatareblackhole 10
rotating3Dtext 9.8
1998tweety 9.7
bwc222 9.5
JunkyGS 9.1
1313Harbor 9
1317093 9
Bajuko 9
Banananaise 9
fifthchevron 9
imasalesman 9
Leixander 9
saucymac 9
sh-ether 9
chookyboy 8.9
ulikejazz 8.6
CandlePrince 8
CreepyMannequin 8
DraculaWeekend 8
Dracyoshi 8
kanyewestrep 8
KarenTheCockpitPilot 8
kyrgyzzephyr 8
RandomRocketKat 8
ValetGirls 8
wanderingimpromptu3 7.5
acedino 7
borpo 7
dropthehammer11 7
phch123 7
luckyboot 6.9
awryj 6.5
whatyourheartdesires 6
BlasiFeelsSwift 5
VeganSquash 3.5
