Countdown

All scores:
agentofscranton 11
Banananaise 11
borpo 11
izeasklapaucius 11
kappyko 11
Leixander 11
THE_PC_DEMANDS_BLOOD 11
Wailordfan_ 11
1998tweety 10
acedino 10
CandlePrince 10
chipsi1 10
chookyboy 10
cloudbustingmp3 10
DoctorWhoWhenHowWhy 10
DraculaWeekend 10
dropthehammer11 10
Elitefourbrad 10
fifthchevron 10
funfetti_donut 10
Hogwartsreject1912 10
ignitethephoenix 10
InfernalSolstice 10
jamesfog 10
kromosol 10
letsallpoo 10
luckyboot 10
MeanToBeIconic 10
melodyllic_ 10
milkywayradius 10
MirandaCrocsgrove 10
MrSwearword 10
Nerdy_boy_chris 10
nooodisaster 10
piccprincess 10
RandomRocketKat 10
robbiec_ 10
sh-ether 10
skargardin 10
stardustanddinos 10
strawberryswing1 10
theburningundead 10
therokinrolla 10
TragicKingdom1 10
whatyourheartdesires 10
bwc222 9.5
Maydaypvz 9.5
thenshecamelikeaaah 9.5
1313Harbor 9
1317093 9
awryj 9
Bajuko 9
BearlyEvenAPun 9
Dracyoshi 9
DrunkHurricane 9
jordnyan 9
neo999955 9
ScottishWhore 9
Shipsinker22 9
static_int_husp 9
T’Challa1966 9
theallu97 9
whatareblackhole 9
twat_brained 8.7
gannade 8.5
JunkyGS 8.4
KarenTheCockpitPilot 8.2
rotating3Dtext 8.2
Danielvonluchau 8
imasalesman 8
kyrgyzzephyr 8
patronsaintofaspies 8
saucymac 8
IndigoAri 7.5
BlasiFeelsSwift 7
CreepyMannequin 7
kanyewestrep 7
ValetGirls 7
ulikejazz 6.9
Raykel 6.5
tevinterimperium 5
wanderingimpromptu3 5
VeganSquash 2
phch123 0
