You and I

All scores:
1317093 11
funfetti_donut 11
gannade 11
MrSwearword 11
nooodisaster 11
saucymac 11
static_int_husp 11
1313Harbor 10
agentofscranton 10
BlasiFeelsSwift 10
cloudbustingmp3 10
DoctorWhoWhenHowWhy 10
dropthehammer11 10
DrunkHurricane 10
Hogwartsreject1912 10
InfernalSolstice 10
izeasklapaucius 10
jamesfog 10
jordnyan 10
kappyko 10
luckyboot 10
melodyllic_ 10
milkywayradius 10
MirandaCrocsgrove 10
neo999955 10
Nerdy_boy_chris 10
patronsaintofaspies 10
rotating3Dtext 10
ScottishWhore 10
Shipsinker22 10
skargardin 10
T’Challa1966 10
THE_PC_DEMANDS_BLOOD 10
thenshecamelikeaaah 10
VeganSquash 10
Wailordfan_ 10
whatareblackhole 10
JunkyGS 9.5
MeanToBeIconic 9.5
stardustanddinos 9.5
therokinrolla 9.5
TragicKingdom1 9.5
1998tweety 9.2
acedino 9
Bajuko 9
Danielvonluchau 9
fifthchevron 9
imasalesman 9
phch123 9
piccprincess 9
Raykel 9
robbiec_ 9
tevinterimperium 9
theallu97 9
chookyboy 8.6
kromosol 8.6
twat_brained 8.2
BearlyEvenAPun 8
bwc222 8
Dracyoshi 8
letsallpoo 8
theburningundead 8
ValetGirls 8
strawberryswing1 7.8
CandlePrince 7.5
KarenTheCockpitPilot 7.5
Leixander 7.5
Maydaypvz 7.5
RandomRocketKat 7.5
wanderingimpromptu3 7.5
awryj 7
Banananaise 7
kanyewestrep 7
kyrgyzzephyr 7
borpo 6.5
CreepyMannequin 6.5
ignitethephoenix 6
IndigoAri 6
ulikejazz 5.8
chipsi1 5
sh-ether 5
whatyourheartdesires 5
DraculaWeekend 4
Elitefourbrad 2
