Till The World Ends

All scores:
1998tweety 11
tevinterimperium 11
1313Harbor 10
1317093 10
agentofscranton 10
awryj 10
Bajuko 10
BearlyEvenAPun 10
BlasiFeelsSwift 10
DoctorWhoWhenHowWhy 10
DraculaWeekend 10
Elitefourbrad 10
gannade 10
Hogwartsreject1912 10
InfernalSolstice 10
izeasklapaucius 10
jamesfog 10
kappyko 10
MeanToBeIconic 10
milkywayradius 10
MirandaCrocsgrove 10
Nerdy_boy_chris 10
phch123 10
piccprincess 10
robbiec_ 10
ScottishWhore 10
Shipsinker22 10
strawberryswing1 10
THE_PC_DEMANDS_BLOOD 10
theallu97 10
twat_brained 10
whatareblackhole 10
acedino 9.5
chookyboy 9.5
JunkyGS 9.5
thenshecamelikeaaah 9.5
therokinrolla 9.5
CandlePrince 9
DrunkHurricane 9
funfetti_donut 9
imasalesman 9
Maydaypvz 9
nooodisaster 9
skargardin 9
stardustanddinos 9
static_int_husp 9
whatyourheartdesires 9
kromosol 8.7
ulikejazz 8.7
bwc222 8.5
rotating3Dtext 8.5
dropthehammer11 8
jordnyan 8
Leixander 8
letsallpoo 8
melodyllic_ 8
patronsaintofaspies 8
Raykel 8
saucymac 8
theburningundead 8
TragicKingdom1 8
ValetGirls 8
borpo 7.5
CreepyMannequin 7.5
ignitethephoenix 7.5
IndigoAri 7.5
RandomRocketKat 7.5
sh-ether 7.5
Banananaise 7
Danielvonluchau 7
Dracyoshi 7
KarenTheCockpitPilot 7
kyrgyzzephyr 7
VeganSquash 7
Wailordfan_ 7
luckyboot 6.8
chipsi1 6.5
fifthchevron 6
kanyewestrep 6
MrSwearword 6
neo999955 6
wanderingimpromptu3 6
T’Challa1966 5.5
cloudbustingmp3 3.7
