Born This Way

All scores:
bwc222 11
agentofscranton 10
BlasiFeelsSwift 10
DoctorWhoWhenHowWhy 10
DrunkHurricane 10
gannade 10
Hogwartsreject1912 10
ignitethephoenix 10
IndigoAri 10
InfernalSolstice 10
izeasklapaucius 10
jamesfog 10
jordnyan 10
letsallpoo 10
melodyllic_ 10
MirandaCrocsgrove 10
MrSwearword 10
piccprincess 10
RandomRocketKat 10
Shipsinker22 10
static_int_husp 10
strawberryswing1 10
THE_PC_DEMANDS_BLOOD 10
theallu97 10
thenshecamelikeaaah 10
therokinrolla 10
VeganSquash 10
1998tweety 9.5
kappyko 9.5
TragicKingdom1 9.5
chookyboy 9.4
1313Harbor 9
chipsi1 9
Danielvonluchau 9
JunkyGS 9
KarenTheCockpitPilot 9
kromosol 9
Maydaypvz 9
neo999955 9
Nerdy_boy_chris 9
robbiec_ 9
skargardin 9
T’Challa1966 9
theburningundead 9
cloudbustingmp3 8.8
rotating3Dtext 8.8
BearlyEvenAPun 8.5
funfetti_donut 8.5
Leixander 8.5
Raykel 8.5
1317093 8
Banananaise 8
DraculaWeekend 8
Dracyoshi 8
Elitefourbrad 8
fifthchevron 8
imasalesman 8
kyrgyzzephyr 8
MeanToBeIconic 8
patronsaintofaspies 8
saucymac 8
ScottishWhore 8
stardustanddinos 8
tevinterimperium 8
whatareblackhole 8
awryj 7.8
twat_brained 7.7
luckyboot 7.5
nooodisaster 7.5
Bajuko 7
borpo 7
CreepyMannequin 7
kanyewestrep 7
ulikejazz 7
ValetGirls 7
Wailordfan_ 7
wanderingimpromptu3 7
acedino 6.5
CandlePrince 6.5
dropthehammer11 6.5
milkywayradius 6
sh-ether 6
phch123 5
whatyourheartdesires 5
