Where Have You Been

All scores:
theallu97 11
whatyourheartdesires 11
acedino 10
BlasiFeelsSwift 10
cloudbustingmp3 10
DraculaWeekend 10
dropthehammer11 10
DrunkHurricane 10
Hogwartsreject1912 10
IndigoAri 10
InfernalSolstice 10
izeasklapaucius 10
jamesfog 10
kappyko 10
Leixander 10
letsallpoo 10
Maydaypvz 10
MeanToBeIconic 10
MirandaCrocsgrove 10
piccprincess 10
ScottishWhore 10
skargardin 10
strawberryswing1 10
T’Challa1966 10
Wailordfan_ 10
whatareblackhole 10
rotating3Dtext 9.8
nooodisaster 9.5
JunkyGS 9.3
chookyboy 9.2
1313Harbor 9
Bajuko 9
Banananaise 9
DoctorWhoWhenHowWhy 9
ignitethephoenix 9
jordnyan 9
kyrgyzzephyr 9
phch123 9
sh-ether 9
Shipsinker22 9
therokinrolla 9
1998tweety 8.7
twat_brained 8.6
melodyllic_ 8.5
static_int_husp 8.5
THE_PC_DEMANDS_BLOOD 8.5
KarenTheCockpitPilot 8.3
1317093 8
bwc222 8
CandlePrince 8
chipsi1 8
CreepyMannequin 8
Elitefourbrad 8
funfetti_donut 8
imasalesman 8
kromosol 8
luckyboot 8
milkywayradius 8
neo999955 8
Nerdy_boy_chris 8
RandomRocketKat 8
Raykel 8
robbiec_ 8
saucymac 8
MrSwearword 7.8
awryj 7.5
thenshecamelikeaaah 7.5
BearlyEvenAPun 7
Danielvonluchau 7
kanyewestrep 7
tevinterimperium 7
ulikejazz 7
ValetGirls 7
borpo 6.5
Dracyoshi 6.5
TragicKingdom1 6.5
stardustanddinos 6
theburningundead 6
VeganSquash 6
wanderingimpromptu3 6
agentofscranton 5.5
patronsaintofaspies 5.5
fifthchevron 5
gannade 4
