I Wanna Go

All scores:
1313Harbor 11
awryj 11
DoctorWhoWhenHowWhy 11
1998tweety 10
Banananaise 10
BlasiFeelsSwift 10
CandlePrince 10
chipsi1 10
DrunkHurricane 10
funfetti_donut 10
Hogwartsreject1912 10
IndigoAri 10
izeasklapaucius 10
jamesfog 10
Leixander 10
Maydaypvz 10
MrSwearword 10
piccprincess 10
sh-ether 10
static_int_husp 10
strawberryswing1 10
THE_PC_DEMANDS_BLOOD 10
theallu97 10
whatareblackhole 10
chookyboy 9.7
bwc222 9.5
JunkyGS 9.3
1317093 9
InfernalSolstice 9
kappyko 9
MirandaCrocsgrove 9
patronsaintofaspies 9
rotating3Dtext 9
tevinterimperium 9
ulikejazz 8.8
agentofscranton 8.5
ignitethephoenix 8.5
skargardin 8.5
therokinrolla 8.5
cloudbustingmp3 8.2
Bajuko 8
CreepyMannequin 8
Dracyoshi 8
Elitefourbrad 8
gannade 8
imasalesman 8
jordnyan 8
KarenTheCockpitPilot 8
kromosol 8
melodyllic_ 8
milkywayradius 8
Nerdy_boy_chris 8
nooodisaster 8
robbiec_ 8
saucymac 8
theburningundead 8
thenshecamelikeaaah 8
VeganSquash 8
Wailordfan_ 8
twat_brained 7.8
BearlyEvenAPun 7.5
dropthehammer11 7.5
kyrgyzzephyr 7.5
MeanToBeIconic 7.5
Raykel 7.3
acedino 7
Danielvonluchau 7
DraculaWeekend 7
letsallpoo 7
neo999955 7
RandomRocketKat 7
stardustanddinos 7
TragicKingdom1 7
ValetGirls 7
Shipsinker22 6.5
borpo 6
phch123 6
ScottishWhore 6
wanderingimpromptu3 6
luckyboot 5.7
whatyourheartdesires 5
kanyewestrep 4
fifthchevron 2
T’Challa1966 1
