You Da One

All scores:
1317093 10
acedino 10
agentofscranton 10
awryj 10
Bajuko 10
DoctorWhoWhenHowWhy 10
dropthehammer11 10
DrunkHurricane 10
imasalesman 10
izeasklapaucius 10
jamesfog 10
jordnyan 10
kappyko 10
Leixander 10
letsallpoo 10
MirandaCrocsgrove 10
MrSwearword 10
Nerdy_boy_chris 10
strawberryswing1 10
THE_PC_DEMANDS_BLOOD 10
theburningundead 10
BlasiFeelsSwift 9
chipsi1 9
cloudbustingmp3 9
gannade 9
IndigoAri 9
kromosol 9
melodyllic_ 9
milkywayradius 9
phch123 9
robbiec_ 9
T’Challa1966 9
theallu97 9
thenshecamelikeaaah 9
twat_brained 9
whatyourheartdesires 9
chookyboy 8.8
1313Harbor 8.5
neo999955 8.5
rotating3Dtext 8.5
1998tweety 8.4
JunkyGS 8.4
BearlyEvenAPun 8
funfetti_donut 8
Hogwartsreject1912 8
Maydaypvz 8
MeanToBeIconic 8
nooodisaster 8
RandomRocketKat 8
Raykel 8
saucymac 8
Shipsinker22 8
stardustanddinos 8
static_int_husp 8
therokinrolla 8
VeganSquash 8
Banananaise 7.5
bwc222 7.5
DraculaWeekend 7.5
InfernalSolstice 7.5
skargardin 7.5
borpo 7
CandlePrince 7
CreepyMannequin 7
Dracyoshi 7
ignitethephoenix 7
piccprincess 7
ScottishWhore 7
tevinterimperium 7
TragicKingdom1 7
ValetGirls 7
Wailordfan_ 7
kyrgyzzephyr 6.5
luckyboot 6
ulikejazz 6
patronsaintofaspies 5.5
sh-ether 5.5
Danielvonluchau 5
kanyewestrep 5
KarenTheCockpitPilot 5
whatareblackhole 5
Elitefourbrad 4
wanderingimpromptu3 3
fifthchevron 1
